34564,2021-10-03T19:18:29+0000;0444,T6650,Ha6ac;0445,T66cd,Ha488;0544,T6986,H8d44;0545,T6d81,H84b8;0644,T6b85,H8e6c;0645,T684a,H9e36;0744,T6659,H9873;0745,T65cc,Hab22
34799,2021-10-03T19:52:48+0000;0444,T6d9c,Hb7a3;0445,T6d48,Hbc8a;0544,T6d98,Hb2d7;0545,T6db1,Hc78f;0644,T6f4d,Ha6af;0645,T6eee,Ha928;0744,T6eda,H9b3a;0745,T6e80,Hb45e
34800,2021-10-03T19:52:56+0000;0444,T6d8a,Hb79c;0445,T6d3b,Hbfdf;0544,T6d84,Hb3f0;0545,T6d9e,Hc83f;0644,T6f3d,Ha764;0645,T6ed9,Ha9d3;0744,T6ecd,H9bc4;0745,T6e72,Hb54f
34801,2021-10-03T19:53:05+0000;0444,T6d7a,Hb870;0445,T6d29,Hbff0;0544,T6d73,Hb3fe;0545,T6d8c,Hc8f9;0644,T6f29,Ha826;0645,T6eca,Haab0;0744,T6ebd,H9c6b;0745,T6e64,Hb612
34802,2021-10-03T19:53:14+0000;0444,T6d67,Hb9fd;0445,T6d19,Hc154;0544,T6d63,Hb625;0545,T6d78,Hc981;0644,T6f14,Ha8f6;0645,T6eb9,Hab6b;0744,T6eae,H9cfd;0745,T6e59,Hb6da
34803,2021-10-03T19:53:23+0000;0444,T6d59,Hb9aa;0445,T6d06,Hc275;0544,T6d51,Hb6c0;0545,T6d67,Hca20;0644,T6f03,Haa11;0645,T6ea9,Hac29;0744,T6ea2,H9dab;0745,T6e4a,Hb792
34804,2021-10-03T19:53:31+0000;0444,T6d45,Hba72;0445,T6cf6,Hc203;0544,T6d3f,Hb6bb;0545,T6d54,Hcb28;0644,T6ef1,Haa85;0645,T6e94,Hacc2;0744,T6e93,H9e3f;0745,T6e39,Hb7af
34805,2021-10-03T19:53:40+0000;0444,T6d32,Hbac9;0445,T6ce6,Hc2d7;0544,T6d31,Hb7cc;0545,T6d42,Hcb83;0644,T6edd,Hab0c;0645,T6e89,Had7e;0744,T6e84,H9eae;0745,T6e2d,Hb82a
34806,2021-10-03T19:53:49+0000;0444,T6d1f,Hba4f;0445,T6cd5,Hc4d4;0544,T6d21,Hb775;0545,T6d30,Hcb9e;0644,T6ece,Habdc;0645,T6e76,Hae3b;0744,T6e74,H9f3b;0745,T6e1c,Hb912
34807,2021-10-03T19:53:58+0000;0444,T6d10,Hbbef;0445,T6cc6,Hc48b;0544,T6d10,Hb7d6;0545,T6d1f,Hcc23;0644,T6eb8,Hac94;0645,T6e66,Haefc;0744,T6e64,H9fad;0745,T6e12,Hb936
34808,2021-10-03T19:54:07+0000;0444,T6d02,Hbc47;0445,T6cb8,Hc63e;0544,T6cff,Hb8da;0545,T6d0c,Hcca2;0644,T6ea6,Had3e;0645,T6e54,Haf97;0744,T6e57,Ha011;0745,T6e04,Hb9f1
34809,2021-10-03T19:54:15+0000;0444,T6cf2,Hbd1b;0445,T6ca5,Hc623;0544,T6cef,Hb947;0545,T6cf9,Hcd2c;0644,T6e95,Hae2b;0645,T6e44,Hb05f;0744,T6e49,Ha081;0745,T6df8,Hbac0
34810,2021-10-03T19:54:24+0000;0444,T6ce1,Hbcc5;0445,T6c95,Hc6ba;0544,T6cdf,Hb9d4;0545,T6ce9,Hce11;0644,T6e82,Haef7;0645,T6e34,Hb0dd;0744,T6e3b,Ha0fc;0745,T6de9,Hbb7d
34811,2021-10-03T19:54:33+0000;0444,T6cd3,Hbe26;0445,T6c84,Hc746;0544,T6ccd,Hb931;0545,T6cd9,Hce5b;0644,T6e73,Haf92;0645,T6e24,Hb17f;0744,T6e2c,Ha19d;0745,T6dd9,Hbb66
34812,2021-10-03T19:54:42+0000;0444,T6cc1,Hbf89;0445,T6c73,Hc579;0544,T6cbc,Hb7fd;0545,T6cc8,Hceb6;0644,T6e60,Hb053;0645,T6e12,Hb23b;0744,T6e1f,Ha21d;0745,T6dce,Hbbff
34813,2021-10-03T19:54:50+0000;0444,T6cb4,Hbfd9;0445,T6c67,Hc674;0544,T6caf,Hb731;0545,T6cb7,Hcf03;0644,T6e4f,Hb0f8;0645,T6e01,Hb2b2;0744,T6e12,Ha274;0745,T6dc4,Hbd0d
34814,2021-10-03T19:54:59+0000;0444,T6ca2,Hbffd;0445,T6c59,Hc741;0544,T6c9f,Hb771;0545,T6ca6,Hcfa2;0644,T6e3e,Hb173;0645,T6df3,Hb339;0744,T6e03,Ha2ea;0745,T6db1,Hbd75
34815,2021-10-03T19:55:08+0000;0444,T6c92,Hc0c2;0445,T6c4b,Hc87b;0544,T6c91,Hb76e;0545,T6c96,Hd007;0644,T6e2c,Hb1ff;0645,T6de1,Hb3d5;0744,T6df1,Ha353;0745,T6da4,Hbda8
34816,2021-10-03T19:55:17+0000;0444,T6c82,Hc162;0445,T6c3b,Hc987;0544,T6c80,Hb777;0545,T6c83,Hd032;0644,T6e18,Hb29d;0645,T6dd2,Hb490;0744,T6de6,Ha3bb;0745,T6d9b,Hbe71
34817,2021-10-03T19:55:25+0000;0444,T6c72,Hc1f4;0445,T6c2f,Hc9a5;0544,T6c6e,Hb6b1;0545,T6c76,Hd09d;0644,T6e07,Hb34a;0645,T6dc4,Hb525;0744,T6ddb,Ha437;0745,T6d8c,Hbef3
34818,2021-10-03T19:55:34+0000;0444,T6c66,Hc304;0445,T6c20,Hca48;0544,T6c5f,Hb6b2;0545,T6c65,Hd095;0644,T6df4,Hb43e;0645,T6db5,Hb5d2;0744,T6dcc,Ha486;0745,T6d82,Hbfb2
34819,2021-10-03T19:55:43+0000;0444,T6c56,Hc30b;0445,T6c14,Hcb7b;0544,T6c4e,Hb6e8;0545,T6c53,Hd0f6;0644,T6de6,Hb4c5;0645,T6da5,Hb63a;0744,T6dc0,Ha50d;0745,T6d75,Hbffd
34820,2021-10-03T19:55:52+0000;0444,T6c47,Hc368;0445,T6c03,Hcad3;0544,T6c40,Hb779;0545,T6c44,Hd21d;0644,T6dd3,Hb50f;0645,T6d98,Hb6a2;0744,T6db2,Ha5ab;0745,T6d66,Hbfb8
34821,2021-10-03T19:56:00+0000;0444,T6c37,Hc3c9;0445,T6bf5,Hcb89;0544,T6c32,Hb7b3;0545,T6c35,Hd262;0644,T6dc3,Hb596;0645,T6d87,Hb71a;0744,T6da4,Ha5e3;0745,T6d5b,Hc02a
34822,2021-10-03T19:56:09+0000;0444,T6c29,Hc3ec;0445,T6be8,Hcd45;0544,T6c24,Hb88f;0545,T6c23,Hd265;0644,T6db2,Hb61e;0645,T6d7b,Hb7ba;0744,T6d9a,Ha647;0745,T6d4e,Hc099
34823,2021-10-03T19:56:18+0000;0444,T6c1c,Hc4b0;0445,T6bda,Hcdc8;0544,T6c18,Hb97a;0545,T6c17,Hd2f2;0644,T6da2,Hb6cf;0645,T6d6b,Hb84a;0744,T6d8c,Ha693;0745,T6d43,Hc15a
34824,2021-10-03T19:56:27+0000;0444,T6c0d,Hc4de;0445,T6bc8,Hce2b;0544,T6c0c,Hbacb;0545,T6c07,Hd3b7;0644,T6d92,Hb778;0645,T6d5d,Hb90a;0744,T6d7f,Ha6d8;0745,T6d36,Hc203
34825,2021-10-03T19:56:35+0000;0444,T6bfe,Hc611;0445,T6bba,Hcdbe;0544,T6bfd,Hba8c;0545,T6bf6,Hd40c;0644,T6d82,Hb812;0645,T6d4b,Hb990;0744,T6d73,Ha753;0745,T6d29,Hc2d8
34826,2021-10-03T19:56:44+0000;0444,T6bee,Hc688;0445,T6bad,Hce3e;0544,T6bea,Hb9bb;0545,T6be7,Hd474;0644,T6d6f,Hb892;0645,T6d3f,Hba0b;0744,T6d68,Ha7d9;0745,T6d21,Hc347
34827,2021-10-03T19:56:53+0000;0444,T6bdf,Hc6a5;0445,T6ba1,Hce8a;0544,T6bde,Hb9ef;0545,T6bdb,Hd483;0644,T6d5f,Hb95f;0645,T6d32,Hbac1;0744,T6d5c,Ha87a;0745,T6d16,Hc2fc
34828,2021-10-03T19:57:02+0000;0444,T6bd2,Hc70e;0445,T6b92,Hcee7;0544,T6bd3,Hbac6;0545,T6bcc,Hd50a;0644,T6d4e,Hb9e1;0645,T6d25,Hbb31;0744,T6d4f,Ha899;0745,T6d07,Hc3b2
34829,2021-10-03T19:57:10+0000;0444,T6bc6,Hc765;0445,T6b87,Hcf16;0544,T6bc4,Hbae0;0545,T6bbe,Hd5e2;0644,T6d3e,Hba89;0645,T6d16,Hbbc9;0744,T6d43,Ha8e0;0745,T6cfc,Hc452
34830,2021-10-03T19:57:19+0000;0444,T6bb9,Hc7fb;0445,T6b77,Hd046;0544,T6bb9,Hbc5b;0545,T6baf,Hd653;0644,T6d2e,Hbb16;0645,T6d08,Hbc1b;0744,T6d36,Ha975;0745,T6cf1,Hc426
34831,2021-10-03T19:57:28+0000;0444,T6bab,Hc84e;0445,T6b6e,Hd03c;0544,T6bac,Hbc2d;0545,T6b9f,Hd5d4;0644,T6d20,Hbb77;0645,T6cfa,Hbc9a;0744,T6d28,Ha9c7;0745,T6ce2,Hc42c
34832,2021-10-03T19:57:37+0000;0444,T6b9b,Hc826;0445,T6b61,Hd165;0544,T6ba0,Hbca1;0545,T6b93,Hd6cf;0644,T6d11,Hbbdf;0645,T6cea,Hbcd2;0744,T6d1e,Haa16;0745,T6cd7,Hc45e
34833,2021-10-03T19:57:46+0000;0444,T6b8e,Hc92c;0445,T6b54,Hd152;0544,T6b92,Hbc68;0545,T6b83,Hd6fd;0644,T6cff,Hbc2e;0645,T6cda,Hbd47;0744,T6d12,Haa67;0745,T6ccf,Hc4ae
34834,2021-10-03T19:57:54+0000;0444,T6b81,Hc98c;0445,T6b48,Hd284;0544,T6b85,Hbc37;0545,T6b75,Hd738;0644,T6cf1,Hbc94;0645,T6ccd,Hbdae;0744,T6d03,Haa99;0745,T6cc3,Hc505
34835,2021-10-03T19:58:03+0000;0444,T6b76,Hc9f8;0445,T6b3d,Hd322;0544,T6b79,Hbd20;0545,T6b65,Hd79b;0644,T6ce0,Hbd16;0645,T6cc1,Hbe66;0744,T6cf8,Haad3;0745,T6cb6,Hc592
34836,2021-10-03T19:58:12+0000;0444,T6b69,Hca4c;0445,T6b2e,Hd378;0544,T6b6c,Hbd65;0545,T6b58,Hd7e2;0644,T6cd3,Hbda5;0645,T6cb3,Hbee3;0744,T6cea,Hab31;0745,T6cad,Hc5c3
34837,2021-10-03T19:58:21+0000;0444,T6b5c,Hcac5;0445,T6b20,Hd339;0544,T6b5d,Hbda9;0545,T6b4a,Hd830;0644,T6cc3,Hbe1f;0645,T6caa,Hbf69;0744,T6ce1,Hab61;0745,T6ca2,Hc65e
34838,2021-10-03T19:58:29+0000;0444,T6b51,Hcbca;0445,T6b17,Hd31d;0544,T6b51,Hbcf8;0545,T6b3b,Hd8ac;0644,T6cb7,Hbea8;0645,T6c9c,Hbfd4;0744,T6cd7,Habf9;0745,T6c97,Hc6b9
34839,2021-10-03T19:58:38+0000;0444,T6b42,Hcbba;0445,T6b0c,Hd3a8;0544,T6b44,Hbd42;0545,T6b32,Hd942;0644,T6ca5,Hbf3b;0645,T6c8e,Hc002;0744,T6cca,Hac61;0745,T6c8d,Hc6ce
34840,2021-10-03T19:58:47+0000;0444,T6b36,Hcc23;0445,T6b00,Hd3e3;0544,T6b39,Hbe5e;0545,T6b25,Hd9d7;0644,T6c99,Hbfb2;0645,T6c83,Hc0b3;0744,T6cc1,Hac8e;0745,T6c83,Hc722
34841,2021-10-03T19:58:56+0000;0444,T6b27,Hcc7d;0445,T6af3,Hd3c1;0544,T6b2c,Hbe20;0545,T6b16,Hda32;0644,T6c89,Hc003;0645,T6c76,Hc11f;0744,T6cb4,Hacd2;0745,T6c79,Hc7b3
34842,2021-10-03T19:59:04+0000;0444,T6b1c,Hcd33;0445,T6ae5,Hd408;0544,T6b20,Hbe68;0545,T6b0b,Hda67;0644,T6c7a,Hc07d;0645,T6c66,Hc1a8;0744,T6caa,Had03;0745,T6c6d,Hc86e
34843,2021-10-03T19:59:13+0000;0444,T6b0f,Hcd2e;0445,T6add,Hd496;0544,T6b14,Hbe92;0545,T6afd,Hdad2;0644,T6c6e,Hc0f6;0645,T6c5d,Hc211;0744,T6c9d,Had4d;0745,T6c62,Hc8f4
34844,2021-10-03T19:59:22+0000;0444,T6b03,Hcd38;0445,T6ad0,Hd599;0544,T6b0c,Hbf2b;0545,T6aef,Hdae1;0644,T6c5f,Hc15c;0645,T6c50,Hc24a;0744,T6c96,Hadb5;0745,T6c57,Hc905
34845,2021-10-03T19:59:31+0000;0444,T6afa,Hcdb7;0445,T6ac1,Hd604;0544,T6aff,Hbfba;0545,T6ae2,Hdb0e;0644,T6c4f,Hc1e0;0645,T6c42,Hc29f;0744,T6c8a,Hadef;0745,T6c4e,Hc928
34846,2021-10-03T19:59:39+0000;0444,T6aec,Hcdfa;0445,T6ab8,Hd67c;0544,T6af3,Hc005;0545,T6ad7,Hdb39;0644,T6c42,Hc25f;0645,T6c35,Hc2f9;0744,T6c7c,Hae2e;0745,T6c42,Hc928
34847,2021-10-03T19:59:48+0000;0444,T6ae2,Hce6c;0445,T6aad,Hd6c5;0544,T6ae8,Hc083;0545,T6acd,Hdbd4;0644,T6c33,Hc2cb;0645,T6c29,Hc36b;0744,T6c70,Hae68;0745,T6c37,Hc8f9
34848,2021-10-03T19:59:57+0000;0444,T6ad4,Hce82;0445,T6aa2,Hd726;0544,T6adc,Hc0fb;0545,T6ac0,Hdc14;0644,T6c29,Hc351;0645,T6c1e,Hc3c2;0744,T6c65,Haeb6;0745,T6c2d,Hc8ea
34849,2021-10-03T20:00:06+0000;0444,T6ac7,Hced0;0445,T6a96,Hd72a;0544,T6ace,Hc0ef;0545,T6ab2,Hdc5c;0644,T6c1b,Hc3eb;0645,T6c11,Hc414;0744,T6c59,Haeff;0745,T6c26,Hc971
34850,2021-10-03T20:00:14+0000;0444,T6aba,Hcf71;0445,T6a8a,Hd7b1;0544,T6ac5,Hc0fe;0545,T6aa7,Hdc8d;0644,T6c0f,Hc440;0645,T6c05,Hc4a9;0744,T6c4f,Haf4a;0745,T6c1b,Hc9e9
34851,2021-10-03T20:00:23+0000;0444,T6ab1,Hd03b;0445,T6a81,Hd7f1;0544,T6ab7,Hc0e0;0545,T6a9c,Hdce4;0644,T6bff,Hc4b8;0645,T6bf9,Hc548;0744,T6c47,Haf96;0745,T6c10,Hca4e
34852,2021-10-03T20:00:32+0000;0444,T6aa7,Hd06f;0445,T6a79,Hd813;0544,T6aac,Hc0c4;0545,T6a90,Hdd0b;0644,T6bf1,Hc530;0645,T6bf0,Hc5b1;0744,T6c3b,Hafe4;0745,T6c06,Hca85
34853,2021-10-03T20:00:41+0000;0444,T6a9a,Hd039;0445,T6a6c,Hd8c4;0544,T6aa2,Hc151;0545,T6a84,Hdd80;0644,T6be5,Hc5b6;0645,T6be5,Hc5b7;0744,T6c30,Hb014;0745,T6bff,Hca9c
34854,2021-10-03T20:00:49+0000;0444,T6a8f,Hd0c1;0445,T6a62,Hd8b3;0544,T6a98,Hc1d4;0545,T6a78,Hddce;0644,T6bd6,Hc60c;0645,T6bd4,Hc5fd;0744,T6c24,Hb053;0745,T6bf1,Hcaa6
34855,2021-10-03T20:00:58+0000;0444,T6a84,Hd156;0445,T6a57,Hd8dc;0544,T6a8d,Hc24c;0545,T6a6e,Hde1b;0644,T6bc9,Hc680;0645,T6bcb,Hc695;0744,T6c19,Hb081;0745,T6be8,Hca95
34856,2021-10-03T20:01:07+0000;0444,T6a77,Hd1c0;0445,T6a50,Hd995;0544,T6a82,Hc29d;0545,T6a61,Hde77;0644,T6bb8,Hc710;0645,T6bbe,Hc6a7;0744,T6c0e,Hb0de;0745,T6bdf,Hca73
34857,2021-10-03T20:01:16+0000;0444,T6a6f,Hd21d;0445,T6a44,Hd9c0;0544,T6a75,Hc295;0545,T6a56,Hdeca;0644,T6bad,Hc751;0645,T6bb2,Hc743;0744,T6c03,Hb11d;0745,T6bd8,Hcad5
34858,2021-10-03T20:01:25+0000;0444,T6a63,Hd28b;0445,T6a3b,Hd983;0544,T6a6c,Hc2b1;0545,T6a4c,Hdef9;0644,T6ba0,Hc7c1;0645,T6ba8,Hc7f5;0744,T6bfa,Hb146;0745,T6bce,Hcb8a
34859,2021-10-03T20:01:33+0000;0444,T6a56,Hd2f8;0445,T6a32,Hda2f;0544,T6a60,Hc31a;0545,T6a40,Hdf82;0644,T6b94,Hc7fe;0645,T6b9b,Hc812;0744,T6bef,Hb180;0745,T6bc3,Hcc15
34860,2021-10-03T20:01:42+0000;0444,T6a4b,Hd2e8;0445,T6a28,Hda67;0544,T6a59,Hc341;0545,T6a34,Hdf68;0644,T6b84,Hc874;0645,T6b8f,Hc826;0744,T6be8,Hb1cb;0745,T6bba,Hcc86
34861,2021-10-03T20:01:51+0000;0444,T6a43,Hd318;0445,T6a1c,Hda76;0544,T6a4e,Hc333;0545,T6a2a,Hdfad;0644,T6b78,Hc8ca;0645,T6b84,Hc871;0744,T6bde,Hb20f;0745,T6bb3,Hccbf
34862,2021-10-03T20:02:00+0000;0444,T6a37,Hd3a4;0445,T6a13,Hdae8;0544,T6a42,Hc360;0545,T6a22,He013;0644,T6b6d,Hc908;0645,T6b79,Hc8c1;0744,T6bd2,Hb247;0745,T6ba8,Hcd07
34863,2021-10-03T20:02:08+0000;0444,T6a2d,Hd3e2;0445,T6a0b,Hdb29;0544,T6a38,Hc3a2;0545,T6a19,He040;0644,T6b60,Hc975;0645,T6b6e,Hc970;0744,T6bc8,Hb28d;0745,T6ba0,Hcd4f
34864,2021-10-03T20:02:17+0000;0444,T6a25,Hd423;0445,T69ff,Hdb0c;0544,T6a2d,Hc40f;0545,T6a0b,He078;0644,T6b55,Hc9c4;0645,T6b64,Hc9ea;0744,T6bc1,Hb2bb;0745,T6b9a,Hcdb8
34865,2021-10-03T20:02:26+0000;0444,T6a1a,Hd457;0445,T69f7,Hdb9a;0544,T6a23,Hc416;0545,T6a01,He09e;0644,T6b4a,Hca1c;0645,T6b5a,Hca46;0744,T6bb8,Hb2e5;0745,T6b8f,Hcdef
34866,2021-10-03T20:02:35+0000;0444,T6a10,Hd4e1;0445,T69e9,Hdbe1;0544,T6a1a,Hc447;0545,T69f8,He0e8;0644,T6b3b,Hcaad;0645,T6b4d,Hca38;0744,T6bac,Hb33f;0745,T6b86,Hce1d
34867,2021-10-03T20:02:43+0000;0444,T6a05,Hd56e;0445,T69e3,Hdc15;0544,T6a10,Hc432;0545,T69ec,He0e6;0644,T6b31,Hcade;0645,T6b44,Hca73;0744,T6ba3,Hb381;0745,T6b7d,Hce53
34868,2021-10-03T20:02:52+0000;0444,T69fb,Hd57d;0445,T69db,Hdc1b;0544,T6a07,Hc439;0545,T69e0,He13a;0644,T6b23,Hcb26;0645,T6b37,Hcab9;0744,T6b98,Hb3b6;0745,T6b74,Hce9f
34869,2021-10-03T20:03:01+0000;0444,T69f2,Hd5c6;0445,T69d3,Hdc86;0544,T69fd,Hc4f1;0545,T69d8,He18b;0644,T6b18,Hcb7a;0645,T6b2b,Hcb29;0744,T6b8e,Hb3d9;0745,T6b6b,Hceec
34870,2021-10-03T20:03:10+0000;0444,T69e7,Hd5d6;0445,T69c7,Hdcbd;0544,T69f3,Hc4c7;0545,T69cd,He1b3;0644,T6b0c,Hcbd9;0645,T6b22,Hcbbe;0744,T6b87,Hb3fc;0745,T6b62,Hcf23
34871,2021-10-03T20:03:18+0000;0444,T69de,Hd5d2;0445,T69be,Hdcd3;0544,T69ea,Hc52b;0545,T69c5,He233;0644,T6b01,Hcc35;0645,T6b18,Hcbcb;0744,T6b7e,Hb433;0745,T6b58,Hcf11
34872,2021-10-03T20:03:27+0000;0444,T69d4,Hd643;0445,T69b5,Hdd58;0544,T69e1,Hc548;0545,T69bb,He259;0644,T6af4,Hcc89;0645,T6b11,Hcc47;0744,T6b72,Hb469;0745,T6b4c,Hcf24
34873,2021-10-03T20:03:36+0000;0444,T69c8,Hd697;0445,T69ac,Hddba;0544,T69d8,Hc56e;0545,T69b0,He29b;0644,T6ae8,Hccba;0645,T6b06,Hcc71;0744,T6b6a,Hb4a1;0745,T6b48,Hcf59
34874,2021-10-03T20:03:45+0000;0444,T69c2,Hd6d9;0445,T69a5,Hde0c;0544,T69ce,Hc574;0545,T69a4,He2b7;0644,T6adc,Hcd00;0645,T6af8,Hccaf;0744,T6b61,Hb4e1;0745,T6b3d,Hcfaf
34875,2021-10-03T20:03:53+0000;0444,T69b5,Hd72b;0445,T699b,Hde15;0544,T69c7,Hc5c5;0545,T699b,He2ee;0644,T6ad2,Hcd47;0645,T6aef,Hccf9;0744,T6b59,Hb522;0745,T6b38,Hcff1
34876,2021-10-03T20:04:02+0000;0444,T69ad,Hd759;0445,T6992,Hde5a;0544,T69bd,Hc610;0545,T6993,He331;0644,T6ac7,Hcd8d;0645,T6ae5,Hcd1b;0744,T6b4d,Hb55b;0745,T6b2c,Hd018
34877,2021-10-03T20:04:11+0000;0444,T69a5,Hd78f;0445,T698a,Hde90;0544,T69b2,Hc610;0545,T698b,He376;0644,T6abb,Hcdd1;0645,T6adb,Hcd64;0744,T6b45,Hb591;0745,T6b27,Hd054
34878,2021-10-03T20:04:20+0000;0444,T699d,Hd804;0445,T6981,Hdea8;0544,T69aa,Hc65c;0545,T6981,He3a0;0644,T6ab1,Hce23;0645,T6ace,Hcda5;0744,T6b3d,Hb5c3;0745,T6b1e,Hd0ab
34879,2021-10-03T20:04:28+0000;0444,T6993,Hd856;0445,T6977,Hdf06;0544,T69a0,Hc69e;0545,T6978,He3c6;0644,T6aa7,Hceba;0645,T6ac7,Hcdf2;0744,T6b33,Hb5ec;0745,T6b14,Hd0f5
34880,2021-10-03T20:04:37+0000;0444,T6987,Hd884;0445,T696f,Hded5;0544,T6997,Hc6c9;0545,T696f,He3f5;0644,T6a9c,Hcf13;0645,T6abd,Hce3a;0744,T6b2b,Hb615;0745,T6b0e,Hd141
34881,2021-10-03T20:04:46+0000;0444,T6981,Hd889;0445,T6964,Hdf0d;0544,T698c,Hc6ec;0545,T6965,He438;0644,T6a90,Hcf81;0645,T6ab2,Hce8c;0744,T6b24,Hb64d;0745,T6b06,Hd16d
34882,2021-10-03T20:04:55+0000;0444,T6978,Hd8e4;0445,T695e,Hdf60;0544,T6982,Hc6b0;0545,T695a,He45c;0644,T6a85,Hcf9f;0645,T6aa9,Hcf19;0744,T6b1c,Hb66e;0745,T6afe,Hd1a8
34883,2021-10-03T20:05:04+0000;0444,T696d,Hd91f;0445,T6956,Hdfdc;0544,T6979,Hc6d8;0545,T6957,He4ad;0644,T6a7d,Hd011;0645,T6aa0,Hcf44;0744,T6b11,Hb69e;0745,T6af5,Hd1d9
34884,2021-10-03T20:05:12+0000;0444,T6965,Hd946;0445,T694f,He003;0544,T6970,Hc710;0545,T694c,He4f2;0644,T6a6e,Hd084;0645,T6a97,Hcf91;0744,T6b0a,Hb6d9;0745,T6aed,Hd1f1
34885,2021-10-03T20:05:21+0000;0444,T695d,Hd996;0445,T6945,He01a;0544,T6967,Hc737;0545,T6943,He505;0644,T6a64,Hd0b0;0645,T6a8f,Hcfdc;0744,T6b00,Hb700;0745,T6ae4,Hd21c
34886,2021-10-03T20:05:30+0000;0444,T6955,Hd9bf;0445,T693d,He047;0544,T695d,Hc774;0545,T693a,He52f;0644,T6a58,Hd112;0645,T6a83,Hcff5;0744,T6af7,Hb728;0745,T6adf,Hd237
34887,2021-10-03T20:05:39+0000;0444,T694e,Hda3a;0445,T6936,He06e;0544,T6954,Hc79f;0545,T6933,He565;0644,T6a50,Hd13c;0645,T6a7d,Hd036;0744,T6af0,Hb75d;0745,T6ad6,Hd271
34888,2021-10-03T20:05:47+0000;0444,T6942,Hda79;0445,T692d,He0f5;0544,T6950,Hc79d;0545,T692d,He581;0644,T6a44,Hd15d;0645,T6a72,Hd08c;0744,T6aea,Hb77b;0745,T6ad0,Hd29e
34889,2021-10-03T20:05:56+0000;0444,T693b,Hdab0;0445,T6928,He13a;0544,T6944,Hc780;0545,T6923,He5e4;0644,T6a3c,Hd19e;0645,T6a68,Hd0e7;0744,T6ae1,Hb796;0745,T6ac9,Hd2c6
34890,2021-10-03T20:06:05+0000;0444,T6933,Hdaee;0445,T691f,He134;0544,T6939,Hc791;0545,T691b,He627;0644,T6a31,Hd1f7;0645,T6a61,Hd11a;0744,T6ada,Hb7c4;0745,T6abf,Hd2e4
34891,2021-10-03T20:06:14+0000;0444,T692b,Hdb04;0445,T6916,He154;0544,T6932,Hc7b6;0545,T6912,He638;0644,T6a27,Hd22d;0645,T6a57,Hd15b;0744,T6ad0,Hb7f0;0745,T6ab5,Hd316
34892,2021-10-03T20:06:22+0000;0444,T6921,Hdb4c;0445,T690e,He18c;0544,T6928,Hc7ba;0545,T690b,He672;0644,T6a1e,Hd267;0645,T6a50,Hd1b0;0744,T6aca,Hb811;0745,T6ab1,Hd358
34893,2021-10-03T20:06:31+0000;0444,T691a,Hdb83;0445,T6905,He1c4;0544,T6922,Hc7d6;0545,T6902,He69c;0644,T6a14,Hd2bf;0645,T6a47,Hd248;0744,T6ac0,Hb821;0745,T6aa9,Hd371
34894,2021-10-03T20:06:40+0000;0444,T6910,Hdbbb;0445,T68ff,He1f3;0544,T691a,Hc7f2;0545,T68fb,He698;0644,T6a0c,Hd313;0645,T6a3d,Hd252;0744,T6ab5,Hb869;0745,T6aa2,Hd367
34895,2021-10-03T20:06:49+0000;0444,T690c,Hdc25;0445,T68f8,He22d;0544,T6915,Hc836;0545,T68f2,He6fc;0644,T6a01,Hd365;0645,T6a34,Hd25e;0744,T6aaf,Hb8a0;0745,T6a9d,Hd39f
34896,2021-10-03T20:06:57+0000;0444,T6903,Hdc7c;0445,T68f0,He27d;0544,T6913,Hc89c;0545,T68ec,He73d;0644,T69f8,Hd39d;0645,T6a2a,Hd2ac;0744,T6aa8,Hb8b3;0745,T6a94,Hd3db
34897,2021-10-03T20:07:06+0000;0444,T68fb,Hdc73;0445,T68e6,He2a3;0544,T690d,Hc8b9;0545,T68e2,He75c;0644,T69f0,Hd3d9;0645,T6a23,Hd32e;0744,T6a9e,Hb8ce;0745,T6a8c,Hd421
34898,2021-10-03T20:07:15+0000;0444,T68f1,Hdc68;0445,T68e2,He2af;0544,T6903,Hc8df;0545,T68d7,He756;0644,T69e7,Hd438;0645,T6a1a,Hd32a;0744,T6a99,Hb904;0745,T6a86,Hd45a
34899,2021-10-03T20:07:24+0000;0444,T68e8,Hdcb3;0445,T68d8,He29d;0544,T68fc,Hc906;0545,T68d4,He78e;0644,T69dc,Hd499;0645,T6a12,Hd34f;0744,T6a8f,Hb939;0745,T6a7e,Hd47e
34900,2021-10-03T20:07:32+0000;0444,T68e0,Hdcf1;0445,T68cf,He296;0544,T68f6,Hc91f;0545,T68c8,He7b2;0644,T69d2,Hd4d7;0645,T6a07,Hd384;0744,T6a88,Hb964;0745,T6a77,Hd4a6
34901,2021-10-03T20:07:41+0000;0444,T68d8,Hdd37;0445,T68ca,He2e6;0544,T68ea,Hc8ea;0545,T68c1,He7c5;0644,T69c7,Hd4e0;0645,T69ff,Hd3b1;0744,T6a82,Hb98b;0745,T6a70,Hd4c6
34902,2021-10-03T20:07:50+0000;0444,T68d0,Hdd60;0445,T68c3,He356;0544,T68e4,Hc92d;0545,T68bc,He81e;0644,T69bf,Hd54d;0645,T69f7,Hd3c7;0744,T6a79,Hb9b1;0745,T6a6a,Hd4fe
34903,2021-10-03T20:07:59+0000;0444,T68cc,Hdd80;0445,T68ba,He356;0544,T68dc,Hc971;0545,T68b3,He855;0644,T69b6,Hd570;0645,T69f1,Hd40d;0744,T6a70,Hb9da;0745,T6a65,Hd527
