1764,2021-10-11T15:08:51+0000;0444,T699a,H6534;0445,T6985,H630d;0544,T6983,H5c15;0545,T6987,H62f8;0644,T692c,H66e3;0645,T6967,H65da;0744,T6971,H5a08;0745,T697a,H6676
2006,2021-10-11T16:12:25+0000;0444,T63f7,H7582;0445,T6408,H72d3;0544,T6414,H6a7d;0545,T6415,H727d;0644,T6416,H7534;0645,T6447,H743d;0744,T6410,H67df;0745,T6419,H7576
2007,2021-10-11T16:12:40+0000;0444,T63f4,H757d;0445,T6409,H72d9;0544,T6414,H6a85;0545,T6415,H7284;0644,T6415,H7536;0645,T6448,H743f;0744,T640f,H67e2;0745,T6418,H7571
2008,2021-10-11T16:12:56+0000;0444,T63f4,H7587;0445,T6404,H72d6;0544,T6411,H6a81;0545,T6413,H7288;0644,T6412,H7537;0645,T6447,H7446;0744,T640d,H67e5;0745,T6417,H757e
2009,2021-10-11T16:13:12+0000;0444,T63f2,H7588;0445,T6404,H72da;0544,T640e,H6a85;0545,T6412,H728d;0644,T6411,H753e;0645,T6445,H7441;0744,T640d,H67e8;0745,T6417,H7580
2010,2021-10-11T16:13:28+0000;0444,T63ef,H758d;0445,T6403,H72e1;0544,T640c,H6a8c;0545,T6411,H728c;0644,T6411,H7540;0645,T6444,H7449;0744,T6409,H67ed;0745,T6416,H7584
2011,2021-10-11T16:13:43+0000;0444,T63ef,H7595;0445,T63ff,H72df;0544,T640c,H6a8f;0545,T6410,H7290;0644,T640e,H7546;0645,T6442,H7455;0744,T6408,H67ed;0745,T6416,H7583
2012,2021-10-11T16:13:59+0000;0444,T63eb,H7595;0445,T6401,H72e1;0544,T6409,H6a8d;0545,T640e,H729a;0644,T640c,H7545;0645,T6440,H744e;0744,T6408,H67f0;0745,T6413,H758d
2013,2021-10-11T16:14:15+0000;0444,T63ef,H7599;0445,T6400,H72f0;0544,T640a,H6a92;0545,T640d,H729b;0644,T640a,H7549;0645,T6442,H7454;0744,T6409,H67f2;0745,T6410,H7587
2014,2021-10-11T16:14:31+0000;0444,T63e9,H759e;0445,T63fe,H72ee;0544,T640a,H6a90;0545,T640c,H729a;0644,T640b,H754d;0645,T643e,H7457;0744,T6406,H67f7;0745,T6410,H758f
2015,2021-10-11T16:14:46+0000;0444,T63eb,H759f;0445,T63fa,H72f1;0544,T6408,H6a97;0545,T640a,H729e;0644,T640a,H7551;0645,T643c,H745e;0744,T6402,H67ff;0745,T640b,H758f
2016,2021-10-11T16:15:02+0000;0444,T63e5,H75a3;0445,T63fa,H72f0;0544,T6405,H6a9a;0545,T6408,H729f;0644,T6408,H7551;0645,T643d,H745b;0744,T6402,H6800;0745,T640c,H7592
2017,2021-10-11T16:15:18+0000;0444,T63e9,H75aa;0445,T63f8,H72f8;0544,T6403,H6a94;0545,T6407,H72a3;0644,T6409,H7558;0645,T643c,H7460;0744,T6403,H6801;0745,T6409,H759a
2018,2021-10-11T16:15:34+0000;0444,T63e6,H75a9;0445,T63f7,H72f5;0544,T6404,H6a9d;0545,T6407,H72ab;0644,T6404,H7555;0645,T6439,H7463;0744,T63ff,H6801;0745,T640b,H7597
2019,2021-10-11T16:15:49+0000;0444,T63e5,H75ae;0445,T63f6,H72fa;0544,T6400,H6a9e;0545,T6404,H72aa;0644,T6406,H755c;0645,T6436,H7466;0744,T63ff,H680c;0745,T640a,H759d
2020,2021-10-11T16:16:05+0000;0444,T63e1,H75af;0445,T63f6,H72fc;0544,T6400,H6aa0;0545,T6405,H72ae;0644,T6402,H755f;0645,T6438,H7468;0744,T63fe,H6806;0745,T6407,H75a6
2021,2021-10-11T16:16:21+0000;0444,T63e2,H75ac;0445,T63f3,H72fc;0544,T63fe,H6aa4;0545,T6402,H72ad;0644,T6403,H7559;0645,T6438,H7467;0744,T63fc,H6809;0745,T6405,H75a2
2022,2021-10-11T16:16:37+0000;0444,T63e1,H75b4;0445,T63f2,H7309;0544,T63fd,H6ab1;0545,T63ff,H72b8;0644,T6400,H755c;0645,T6435,H746d;0744,T63f9,H6810;0745,T6403,H75a7
2023,2021-10-11T16:16:52+0000;0444,T63dc,H75b9;0445,T63f0,H730b;0544,T63fc,H6aaf;0545,T6402,H72b7;0644,T6401,H7566;0645,T6432,H7470;0744,T63f9,H6810;0745,T6405,H75a8
2024,2021-10-11T16:17:08+0000;0444,T63de,H75b5;0445,T63ee,H730e;0544,T63fa,H6aab;0545,T63fe,H72b6;0644,T6400,H7564;0645,T6430,H746f;0744,T63f7,H6810;0745,T6402,H75a8
2025,2021-10-11T16:17:24+0000;0444,T63da,H75ba;0445,T63ed,H730f;0544,T63fb,H6ab4;0545,T6400,H72bf;0644,T6400,H7563;0645,T6432,H7475;0744,T63f7,H6815;0745,T6400,H75a9
2026,2021-10-11T16:17:40+0000;0444,T63dc,H75c0;0445,T63ec,H7310;0544,T63f9,H6ab5;0545,T63fb,H72c2;0644,T63fc,H756a;0645,T6431,H7472;0744,T63f5,H6815;0745,T63ff,H75b3
2027,2021-10-11T16:17:56+0000;0444,T63db,H75c5;0445,T63eb,H7312;0544,T63f8,H6aba;0545,T63f8,H72c5;0644,T63fb,H756f;0645,T642e,H7477;0744,T63f5,H681b;0745,T63ff,H75b2
2028,2021-10-11T16:18:11+0000;0444,T63d9,H75ca;0445,T63ea,H7314;0544,T63f6,H6ab8;0545,T63f8,H72c7;0644,T63fc,H756f;0645,T642d,H7478;0744,T63f4,H681b;0745,T63fc,H75ad
2029,2021-10-11T16:18:27+0000;0444,T63d9,H75ca;0445,T63ea,H731a;0544,T63f6,H6ab8;0545,T63f9,H72ca;0644,T63f9,H756d;0645,T642d,H747e;0744,T63f3,H681a;0745,T63fc,H75b0
2030,2021-10-11T16:18:43+0000;0444,T63d7,H75cb;0445,T63e8,H731d;0544,T63f5,H6ac6;0545,T63f9,H72cd;0644,T63f7,H7574;0645,T642b,H7483;0744,T63ef,H6822;0745,T63fb,H75b5
2031,2021-10-11T16:18:59+0000;0444,T63d5,H75d3;0445,T63ea,H731d;0544,T63f2,H6ac5;0545,T63f3,H72d0;0644,T63f8,H756e;0645,T642a,H747d;0744,T63f2,H6823;0745,T63fa,H75ba
2032,2021-10-11T16:19:14+0000;0444,T63d3,H75ce;0445,T63e6,H731d;0544,T63f1,H6ac3;0545,T63f4,H72cf;0644,T63f7,H7578;0645,T6429,H7481;0744,T63ee,H6829;0745,T63f9,H75b9
2033,2021-10-11T16:19:30+0000;0444,T63d3,H75d6;0445,T63e7,H7323;0544,T63f3,H6acb;0545,T63f2,H72d5;0644,T63f4,H7576;0645,T642b,H7487;0744,T63ef,H6828;0745,T63f9,H75bb
2034,2021-10-11T16:19:46+0000;0444,T63d3,H75d9;0445,T63e4,H732b;0544,T63ef,H6ac9;0545,T63f3,H72db;0644,T63f4,H757b;0645,T6427,H7484;0744,T63eb,H6824;0745,T63f9,H75bc
2035,2021-10-11T16:20:02+0000;0444,T63cf,H75df;0445,T63e1,H732d;0544,T63ef,H6ad5;0545,T63f2,H72df;0644,T63f4,H757d;0645,T6427,H7485;0744,T63e9,H682c;0745,T63f7,H75c5
2036,2021-10-11T16:20:17+0000;0444,T63ce,H75e0;0445,T63e3,H7334;0544,T63ed,H6aca;0545,T63ee,H72db;0644,T63f1,H757f;0645,T6425,H748a;0744,T63eb,H6833;0745,T63f4,H75cb
2037,2021-10-11T16:20:33+0000;0444,T63cf,H75de;0445,T63e0,H732e;0544,T63ea,H6ac9;0545,T63ee,H72de;0644,T63f0,H7585;0645,T6424,H748b;0744,T63e9,H682e;0745,T63f2,H75c7
2038,2021-10-11T16:20:49+0000;0444,T63cb,H75de;0445,T63de,H7330;0544,T63eb,H6ad3;0545,T63ee,H72e5;0644,T63f1,H7586;0645,T6423,H748c;0744,T63e7,H6837;0745,T63f3,H75c7
2039,2021-10-11T16:21:05+0000;0444,T63ca,H75e3;0445,T63dd,H7337;0544,T63ea,H6ad3;0545,T63ed,H72e4;0644,T63ee,H7584;0645,T6422,H7493;0744,T63e9,H6836;0745,T63f1,H75ce
2040,2021-10-11T16:21:20+0000;0444,T63c9,H75e8;0445,T63dd,H7337;0544,T63e6,H6ad7;0545,T63ed,H72e9;0644,T63ef,H7587;0645,T6422,H7498;0744,T63e5,H6839;0745,T63f2,H75d4
2041,2021-10-11T16:21:36+0000;0444,T63c8,H75e9;0445,T63dc,H7340;0544,T63e7,H6ad8;0545,T63ea,H72ea;0644,T63ee,H7585;0645,T6420,H7495;0744,T63e3,H6835;0745,T63ef,H75d2
2042,2021-10-11T16:21:52+0000;0444,T63c5,H75ee;0445,T63da,H733c;0544,T63e5,H6adb;0545,T63e7,H72ec;0644,T63ec,H758b;0645,T6421,H749c;0744,T63e4,H683e;0745,T63ee,H75d3
2043,2021-10-11T16:22:08+0000;0444,T63c7,H75e8;0445,T63db,H7343;0544,T63e5,H6ae5;0545,T63e7,H72f1;0644,T63eb,H7586;0645,T641d,H749b;0744,T63e2,H6842;0745,T63ec,H75da
2044,2021-10-11T16:22:23+0000;0444,T63c4,H75f3;0445,T63d7,H7343;0544,T63e3,H6add;0545,T63e8,H72f3;0644,T63ea,H758b;0645,T641d,H7499;0744,T63e1,H6844;0745,T63eb,H75de
2045,2021-10-11T16:22:39+0000;0444,T63c3,H75f2;0445,T63d7,H7346;0544,T63e4,H6ae5;0545,T63e7,H72f9;0644,T63e9,H7595;0645,T641d,H74a4;0744,T63e0,H6847;0745,T63ec,H75de
2046,2021-10-11T16:22:55+0000;0444,T63c2,H75f2;0445,T63d7,H7348;0544,T63e1,H6ae9;0545,T63e4,H72f8;0644,T63e8,H7593;0645,T641a,H74a2;0744,T63e1,H6844;0745,T63ea,H75e1
2047,2021-10-11T16:23:11+0000;0444,T63c2,H75fb;0445,T63d4,H734d;0544,T63e3,H6ae3;0545,T63e3,H72f7;0644,T63e6,H7594;0645,T6417,H74a4;0744,T63dd,H6846;0745,T63e9,H75e2
2048,2021-10-11T16:23:27+0000;0444,T63c1,H75ff;0445,T63d6,H7350;0544,T63e0,H6ae7;0545,T63e0,H72fa;0644,T63e6,H7594;0645,T6417,H74ab;0744,T63de,H6849;0745,T63e9,H75e3
2049,2021-10-11T16:23:42+0000;0444,T63c0,H7606;0445,T63d4,H7350;0544,T63de,H6af1;0545,T63e2,H72fb;0644,T63e3,H7594;0645,T641a,H74ac;0744,T63dd,H6852;0745,T63ea,H75df
2050,2021-10-11T16:23:58+0000;0444,T63bf,H7605;0445,T63d4,H7353;0544,T63de,H6af2;0545,T63e1,H7301;0644,T63e3,H759a;0645,T6416,H74b1;0744,T63dc,H684c;0745,T63e6,H75e9
2051,2021-10-11T16:24:14+0000;0444,T63be,H7602;0445,T63d0,H7357;0544,T63dd,H6af0;0545,T63df,H7302;0644,T63e4,H759f;0645,T6416,H74ac;0744,T63da,H6850;0745,T63e4,H75e7
2052,2021-10-11T16:24:30+0000;0444,T63be,H7607;0445,T63d1,H7359;0544,T63dc,H6aef;0545,T63dc,H7304;0644,T63e1,H75a1;0645,T6415,H74ab;0744,T63d7,H684c;0745,T63e2,H75e7
2053,2021-10-11T16:24:45+0000;0444,T63bb,H7609;0445,T63cf,H735a;0544,T63db,H6af7;0545,T63de,H7307;0644,T63e0,H75a0;0645,T6414,H74ab;0744,T63d9,H6855;0745,T63e5,H75e7
2054,2021-10-11T16:25:01+0000;0444,T63bb,H7607;0445,T63ce,H7359;0544,T63d8,H6afd;0545,T63db,H730d;0644,T63e0,H75a5;0645,T6411,H74ac;0744,T63d6,H6852;0745,T63e1,H75ee
2055,2021-10-11T16:25:17+0000;0444,T63b7,H760b;0445,T63cb,H735e;0544,T63d9,H6af2;0545,T63d8,H730a;0644,T63df,H75a7;0645,T6413,H74b9;0744,T63d5,H6859;0745,T63e2,H75ef
2056,2021-10-11T16:25:33+0000;0444,T63b7,H7611;0445,T63cb,H7360;0544,T63d5,H6af5;0545,T63d9,H7312;0644,T63dc,H75a2;0645,T6410,H74b2;0744,T63d6,H685a;0745,T63e0,H75f2
2057,2021-10-11T16:25:48+0000;0444,T63b9,H760d;0445,T63cc,H7361;0544,T63d6,H6af8;0545,T63d7,H7311;0644,T63dd,H75a6;0645,T6410,H74ba;0744,T63d4,H6857;0745,T63de,H75f3
2058,2021-10-11T16:26:04+0000;0444,T63b4,H7611;0445,T63ca,H7367;0544,T63d8,H6b01;0545,T63d9,H730d;0644,T63db,H75a5;0645,T640e,H74b8;0744,T63d3,H6860;0745,T63de,H75f4
2059,2021-10-11T16:26:20+0000;0444,T63b5,H7614;0445,T63c8,H7364;0544,T63d5,H6b04;0545,T63d6,H7315;0644,T63da,H75ad;0645,T640c,H74bf;0744,T63d3,H6863;0745,T63e0,H75f6
2060,2021-10-11T16:26:36+0000;0444,T63b5,H7618;0445,T63c7,H7367;0544,T63d4,H6aff;0545,T63d5,H7314;0644,T63d8,H75ae;0645,T640d,H74b9;0744,T63d2,H685e;0745,T63dd,H75fa
2061,2021-10-11T16:26:51+0000;0444,T63b3,H7619;0445,T63c7,H7365;0544,T63d3,H6afd;0545,T63d6,H7318;0644,T63d7,H75ae;0645,T640c,H74b9;0744,T63d2,H6861;0745,T63d9,H75fd
2062,2021-10-11T16:27:07+0000;0444,T63b3,H761a;0445,T63c5,H7369;0544,T63d4,H6b0b;0545,T63d3,H7318;0644,T63d9,H75ad;0645,T640c,H74c2;0744,T63d0,H6866;0745,T63db,H75fe
2063,2021-10-11T16:27:23+0000;0444,T63b1,H7625;0445,T63c5,H7373;0544,T63d0,H6b04;0545,T63d1,H731e;0644,T63d8,H75af;0645,T640a,H74c5;0744,T63ce,H6867;0745,T63db,H7600
2064,2021-10-11T16:27:39+0000;0444,T63b1,H761d;0445,T63c5,H7373;0544,T63cf,H6b0d;0545,T63d2,H7321;0644,T63d9,H75b6;0645,T640a,H74c3;0744,T63cd,H6864;0745,T63da,H75fe
2065,2021-10-11T16:27:54+0000;0444,T63b0,H7620;0445,T63c4,H736c;0544,T63cf,H6b10;0545,T63d0,H7328;0644,T63d6,H75b9;0645,T6407,H74be;0744,T63cc,H6873;0745,T63d8,H75ff
2066,2021-10-11T16:28:10+0000;0444,T63af,H7624;0445,T63c4,H7376;0544,T63cd,H6b10;0545,T63ce,H7325;0644,T63d5,H75b8;0645,T6409,H74c6;0744,T63cc,H686c;0745,T63d8,H7604
2067,2021-10-11T16:28:26+0000;0444,T63ad,H7624;0445,T63c1,H736d;0544,T63cc,H6b1a;0545,T63cc,H7324;0644,T63d4,H75b3;0645,T6404,H74cd;0744,T63c9,H6873;0745,T63d6,H7604
2068,2021-10-11T16:28:42+0000;0444,T63ad,H762a;0445,T63c0,H7378;0544,T63cd,H6b10;0545,T63cd,H7324;0644,T63d3,H75b8;0645,T6407,H74cf;0744,T63cb,H6872;0745,T63d6,H760e
2069,2021-10-11T16:28:57+0000;0444,T63ab,H7629;0445,T63c1,H7377;0544,T63cc,H6b14;0545,T63cd,H732a;0644,T63d3,H75b8;0645,T6405,H74ca;0744,T63c8,H6870;0745,T63d5,H7602
2070,2021-10-11T16:29:13+0000;0444,T63ab,H762a;0445,T63c0,H737c;0544,T63cd,H6b16;0545,T63cc,H732e;0644,T63cf,H75b6;0645,T6401,H74cd;0744,T63c8,H6872;0745,T63d3,H760c
2071,2021-10-11T16:29:29+0000;0444,T63ab,H762f;0445,T63bf,H737f;0544,T63c8,H6b19;0545,T63cb,H732b;0644,T63d0,H75be;0645,T6401,H74d3;0744,T63c7,H6872;0745,T63d4,H760a
2072,2021-10-11T16:29:45+0000;0444,T63a6,H7634;0445,T63bf,H7381;0544,T63c8,H6b19;0545,T63c9,H7337;0644,T63cf,H75bd;0645,T6400,H74d5;0744,T63c6,H687a;0745,T63d2,H7610
2073,2021-10-11T16:30:01+0000;0444,T63a7,H7636;0445,T63bb,H7384;0544,T63c7,H6b18;0545,T63c9,H7337;0644,T63ce,H75c4;0645,T63ff,H74d2;0744,T63c6,H687f;0745,T63d1,H7612
2074,2021-10-11T16:30:16+0000;0444,T63a9,H762e;0445,T63bd,H7387;0544,T63c8,H6b1e;0545,T63c9,H7338;0644,T63ce,H75c5;0645,T63ff,H74ce;0744,T63c3,H6882;0745,T63d0,H7612
2075,2021-10-11T16:30:32+0000;0444,T63a7,H7636;0445,T63b9,H7381;0544,T63c9,H6b20;0545,T63c3,H7334;0644,T63ce,H75c0;0645,T63fe,H74d1;0744,T63c0,H6879;0745,T63ce,H7613
2076,2021-10-11T16:30:48+0000;0444,T63a6,H7637;0445,T63bc,H7388;0544,T63c7,H6b1c;0545,T63c9,H7335;0644,T63cd,H75c3;0645,T63fd,H74d1;0744,T63c3,H687a;0745,T63d0,H7610
2077,2021-10-11T16:31:04+0000;0444,T63a4,H7635;0445,T63b9,H7384;0544,T63c5,H6b26;0545,T63c7,H733c;0644,T63cc,H75c9;0645,T63ff,H74dc;0744,T63c2,H6887;0745,T63ce,H7612
2078,2021-10-11T16:31:19+0000;0444,T63a3,H7636;0445,T63b8,H7388;0544,T63c2,H6b1a;0545,T63c6,H733c;0644,T63cc,H75c4;0645,T63fd,H74db;0744,T63c1,H6889;0745,T63cc,H761a
2079,2021-10-11T16:31:35+0000;0444,T63a2,H763e;0445,T63b8,H7388;0544,T63c2,H6b27;0545,T63c2,H7342;0644,T63cb,H75cb;0645,T63fd,H74d9;0744,T63c0,H6883;0745,T63cd,H7613
2080,2021-10-11T16:31:51+0000;0444,T63a3,H763f;0445,T63b7,H738b;0544,T63c0,H6b23;0545,T63c4,H7339;0644,T63c9,H75cc;0645,T63fb,H74d9;0744,T63c0,H6883;0745,T63ca,H761e
2081,2021-10-11T16:32:07+0000;0444,T63a3,H7640;0445,T63b5,H7384;0544,T63c4,H6b27;0545,T63c3,H7344;0644,T63c9,H75c9;0645,T63fc,H74d5;0744,T63bf,H6886;0745,T63cb,H761f
2082,2021-10-11T16:32:22+0000;0444,T63a0,H7644;0445,T63b4,H738c;0544,T63bf,H6b2d;0545,T63c2,H733f;0644,T63c9,H75d0;0645,T63fb,H74dc;0744,T63be,H6887;0745,T63cb,H761c
2083,2021-10-11T16:32:38+0000;0444,T63a0,H7640;0445,T63b4,H738a;0544,T63c1,H6b2b;0545,T63c0,H7346;0644,T63c8,H75d2;0645,T63fa,H74e3;0744,T63bf,H6889;0745,T63ca,H7622
2084,2021-10-11T16:32:54+0000;0444,T639c,H763f;0445,T63b3,H738c;0544,T63bf,H6b26;0545,T63c0,H7340;0644,T63c7,H75d0;0645,T63f7,H74e9;0744,T63bd,H688c;0745,T63c8,H7622
2085,2021-10-11T16:33:10+0000;0444,T639d,H7646;0445,T63b2,H738e;0544,T63be,H6b2c;0545,T63c0,H7348;0644,T63c6,H75cf;0645,T63f9,H74e3;0744,T63ba,H688e;0745,T63ca,H7626
2086,2021-10-11T16:33:25+0000;0444,T639e,H7644;0445,T63b3,H7393;0544,T63bd,H6b31;0545,T63c0,H734c;0644,T63c6,H75d0;0645,T63fa,H74e5;0744,T63bc,H688d;0745,T63c7,H7625
2087,2021-10-11T16:33:41+0000;0444,T639f,H7644;0445,T63b2,H7393;0544,T63be,H6b2b;0545,T63bf,H7349;0644,T63c5,H75d4;0645,T63f3,H74e6;0744,T63bb,H688d;0745,T63c8,H762a
2088,2021-10-11T16:33:57+0000;0444,T639e,H7646;0445,T63b1,H7390;0544,T63bd,H6b36;0545,T63bf,H734e;0644,T63c4,H75d9;0645,T63f5,H74ea;0744,T63b9,H6890;0745,T63c7,H7626
2089,2021-10-11T16:34:13+0000;0444,T639a,H764f;0445,T63af,H7395;0544,T63bd,H6b2f;0545,T63be,H734f;0644,T63c5,H75dd;0645,T63f7,H74ea;0744,T63ba,H688e;0745,T63c5,H762c
2090,2021-10-11T16:34:28+0000;0444,T639c,H764e;0445,T63b1,H7395;0544,T63ba,H6b2a;0545,T63bc,H734f;0644,T63c4,H75d5;0645,T63f5,H74e7;0744,T63b8,H6895;0745,T63c5,H762f
2091,2021-10-11T16:34:44+0000;0444,T639c,H7651;0445,T63af,H7396;0544,T63bd,H6b2d;0545,T63bb,H7352;0644,T63c3,H75d8;0645,T63f0,H74e2;0744,T63b8,H6896;0745,T63c2,H762a
2092,2021-10-11T16:35:00+0000;0444,T639c,H764e;0445,T63ac,H7391;0544,T63bb,H6b35;0545,T63b9,H7354;0644,T63bf,H75d4;0645,T63f2,H74e8;0744,T63b7,H6892;0745,T63c3,H7633
2093,2021-10-11T16:35:16+0000;0444,T6397,H7650;0445,T63ad,H7397;0544,T63b8,H6b32;0545,T63ba,H7354;0644,T63c1,H75d7;0645,T63f2,H74ef;0744,T63b6,H6897;0745,T63c2,H762c
2094,2021-10-11T16:35:31+0000;0444,T6398,H7650;0445,T63ad,H739e;0544,T63ba,H6b3b;0545,T63b9,H7352;0644,T63c0,H75d7;0645,T63f2,H74f1;0744,T63b4,H689c;0745,T63c1,H7631
1911,2021-10-11T15:47:27+0000;0444,T64b8,H738d;0445,T64c4,H70fd;0544,T64cf,H68c0;0545,T64d5,H70a0;0644,T64ca,H737d;0645,T64f8,H72a4;0744,T64cd,H6634;0745,T64dc,H738f
1912,2021-10-11T15:47:43+0000;0444,T64b7,H7394;0445,T64c1,H7106;0544,T64cd,H68c4;0545,T64d3,H70a6;0644,T64c9,H738a;0645,T64f5,H72ae;0744,T64c6,H6636;0745,T64d9,H739a
1913,2021-10-11T15:47:59+0000;0444,T64b3,H739e;0445,T64bf,H7111;0544,T64cb,H68ce;0545,T64cf,H70a9;0644,T64c4,H7392;0645,T64f5,H72b6;0744,T64c5,H6641;0745,T64d5,H739e
1914,2021-10-11T15:48:15+0000;0444,T64b1,H73a3;0445,T64bc,H7111;0544,T64c7,H68d5;0545,T64cf,H70b6;0644,T64c1,H738f;0645,T64f2,H72b4;0744,T64c4,H664e;0745,T64d3,H73a7
1915,2021-10-11T15:48:30+0000;0444,T64af,H73ae;0445,T64b8,H711c;0544,T64c2,H68d8;0545,T64ca,H70bd;0644,T64bf,H7396;0645,T64ee,H72bc;0744,T64c2,H6659;0745,T64d1,H73b1
1916,2021-10-11T15:48:46+0000;0444,T64ab,H73bb;0445,T64b8,H7123;0544,T64c2,H68dd;0545,T64ca,H70c0;0644,T64bc,H739f;0645,T64ea,H72c5;0744,T64be,H6655;0745,T64cd,H73b3
1917,2021-10-11T15:49:02+0000;0444,T64a8,H73b7;0445,T64b4,H7131;0544,T64be,H68e3;0545,T64c6,H70cc;0644,T64b8,H73a3;0645,T64e9,H72ca;0744,T64b9,H665a;0745,T64ca,H73bf
1918,2021-10-11T15:49:18+0000;0444,T64a4,H73c1;0445,T64b2,H712f;0544,T64bd,H68ec;0545,T64c2,H70cf;0644,T64b7,H73ae;0645,T64e6,H72cd;0744,T64b6,H6665;0745,T64c6,H73c3
1919,2021-10-11T15:49:33+0000;0444,T64a3,H73d1;0445,T64af,H713d;0544,T64b9,H68ea;0545,T64be,H70de;0644,T64b4,H73b6;0645,T64e4,H72d7;0744,T64b6,H666c;0745,T64c3,H73cd
1920,2021-10-11T15:49:49+0000;0444,T64a0,H73db;0445,T64ae,H7148;0544,T64b8,H68f7;0545,T64be,H70e1;0644,T64b3,H73ba;0645,T64e0,H72d9;0744,T64b3,H6672;0745,T64c1,H73d0
1921,2021-10-11T15:50:05+0000;0444,T649e,H73db;0445,T64a7,H7149;0544,T64b5,H6903;0545,T64ba,H70e8;0644,T64ae,H73b8;0645,T64de,H72e1;0744,T64b1,H667c;0745,T64be,H73da
1922,2021-10-11T15:50:21+0000;0444,T649b,H73e6;0445,T64a8,H714b;0544,T64b1,H68fe;0545,T64ba,H70ec;0644,T64ae,H73c3;0645,T64dd,H72ea;0744,T64ae,H667e;0745,T64bc,H73e2
1923,2021-10-11T15:50:36+0000;0444,T6497,H73eb;0445,T64a3,H714f;0544,T64af,H690e;0545,T64b6,H70f2;0644,T64ab,H73ca;0645,T64db,H72eb;0744,T64ad,H6685;0745,T64ba,H73e3
1924,2021-10-11T15:50:52+0000;0444,T6496,H73f1;0445,T64a2,H7157;0544,T64b0,H690b;0545,T64b5,H70f9;0644,T64a9,H73ca;0645,T64d5,H72f6;0744,T64aa,H6686;0745,T64b7,H73e8
1925,2021-10-11T15:51:08+0000;0444,T6494,H73f8;0445,T64a2,H7164;0544,T64ad,H6919;0545,T64b0,H7102;0644,T64a5,H73d4;0645,T64d8,H72fb;0744,T64a7,H668b;0745,T64b6,H73f2
1926,2021-10-11T15:51:24+0000;0444,T6491,H73f9;0445,T649d,H7169;0544,T64ab,H691f;0545,T64ae,H710a;0644,T64a5,H73d4;0645,T64d5,H72ff;0744,T64a4,H6698;0745,T64b3,H73f5
1927,2021-10-11T15:51:40+0000;0444,T648d,H7404;0445,T649e,H716a;0544,T64a8,H6920;0545,T64ad,H710f;0644,T64a3,H73db;0645,T64d0,H7308;0744,T64a0,H6696;0745,T64b1,H73f9
1928,2021-10-11T15:51:55+0000;0444,T648d,H740b;0445,T6497,H7167;0544,T64a4,H6929;0545,T64aa,H7118;0644,T64a0,H73d9;0645,T64d0,H730c;0744,T64a0,H669f;0745,T64b0,H7403
1929,2021-10-11T15:52:11+0000;0444,T648b,H7410;0445,T6497,H7175;0544,T64a3,H692f;0545,T64a5,H7118;0644,T649b,H73e4;0645,T64cb,H730c;0744,T649d,H66a4;0745,T64ad,H7410
1930,2021-10-11T15:52:27+0000;0444,T6487,H7413;0445,T6495,H7176;0544,T649f,H6935;0545,T64a2,H7124;0644,T649a,H73e7;0645,T64c9,H7313;0744,T649b,H66ad;0745,T64a9,H7412
1931,2021-10-11T15:52:43+0000;0444,T6485,H7416;0445,T6491,H717e;0544,T649e,H6941;0545,T64a2,H711c;0644,T649a,H73ed;0645,T64c8,H7316;0744,T649a,H66ac;0745,T64a9,H7415
1932,2021-10-11T15:52:58+0000;0444,T6484,H7420;0445,T6491,H7187;0544,T649c,H693e;0545,T649e,H712f;0644,T6499,H73f7;0645,T64c7,H7319;0744,T6494,H66b4;0745,T64a3,H7420
1933,2021-10-11T15:53:14+0000;0444,T6481,H7428;0445,T648f,H7190;0544,T6497,H6943;0545,T649e,H7134;0644,T6493,H73f7;0645,T64c5,H7320;0744,T6495,H66b7;0745,T64a1,H7429
1934,2021-10-11T15:53:30+0000;0444,T647e,H7427;0445,T648c,H7196;0544,T6497,H694c;0545,T649d,H713a;0644,T6494,H7405;0645,T64c2,H7329;0744,T6493,H66be;0745,T64a1,H742d
1935,2021-10-11T15:53:46+0000;0444,T647b,H742e;0445,T648a,H719f;0544,T6493,H6955;0545,T6498,H713b;0644,T6490,H7409;0645,T64c0,H7334;0744,T6490,H66c6;0745,T649c,H7436
1936,2021-10-11T15:54:01+0000;0444,T6479,H743b;0445,T6489,H719c;0544,T6490,H6956;0545,T6497,H7141;0644,T648f,H740a;0645,T64bc,H733b;0744,T648d,H66ca;0745,T649c,H7441
1937,2021-10-11T15:54:17+0000;0444,T6476,H743c;0445,T6484,H719e;0544,T6490,H6957;0545,T6495,H7148;0644,T648e,H7413;0645,T64c0,H7339;0744,T648b,H66d3;0745,T6498,H744a
1938,2021-10-11T15:54:33+0000;0444,T6476,H7441;0445,T6484,H71a8;0544,T6490,H695c;0545,T6491,H714e;0644,T648b,H7416;0645,T64bc,H733c;0744,T648a,H66d4;0745,T6496,H7446
1939,2021-10-11T15:54:49+0000;0444,T6473,H7448;0445,T6480,H71aa;0544,T648b,H6961;0545,T648f,H715a;0644,T6489,H7418;0645,T64b6,H7348;0744,T6488,H66d8;0745,T6493,H7452
1940,2021-10-11T15:55:04+0000;0444,T646f,H744e;0445,T6480,H71b0;0544,T6487,H6966;0545,T648d,H7159;0644,T6486,H741f;0645,T64b6,H7342;0744,T6483,H66df;0745,T6491,H7451
